58,17/11/2019 13:00,11/17/2019,Ford Field,Detroit Lions,Dallas Cowboys,null,null
59,24/11/2019 13:00,11/24/2019,FedEx Field,Washington,Detroit Lions,null,null
60,28/11/2019 12:30,11/28/2019,Ford Field,Detroit Lions,Chicago Bears,null,null
61,8/12/2019 13:00:00,12/8/2019,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
62,15/12/2019 13:00,12/15/2019,Ford Field,Detroit Lions,Tampa Bay Buccaneers,null,null
63,22/12/2019 16:05,12/22/2019,Broncos Stadium at Mile High,Denver Broncos,Detroit Lions,null,null
64,29/12/2019 13:00,12/29/2019,Ford Field,Detroit Lions,Green Bay Packers,null,null
65,13/09/2020 10:00,9/13/2020,Ford Field,Detroit Lions,Chicago Bears,null,null
66,20/09/2020 10:00,9/20/2020,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
67,27/09/2020 13:25,9/27/2020,State Farm Stadium,Arizona Cardinals,Detroit Lions,null,null
68,4/10/2020 10:00:00,10/4/2020,Ford Field,Detroit Lions,New Orleans Saints,null,null
69,18/10/2020 10:00,10/18/2020,TIAA Bank Field,Jacksonville Jaguars,Detroit Lions,null,null
70,25/10/2020 10:00,10/25/2020,Mercedes-Benz Stadium,Atlanta Falcons,Detroit Lions,null,null
71,1/11/2020 10:00:00,11/1/2020,Ford Field,Detroit Lions,Indianapolis Colts,null,null
72,8/11/2020 10:00:00,11/8/2020,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
73,15/11/2020 10:00,11/15/2020,Ford Field,Detroit Lions,Washington,null,null
74,22/11/2020 10:00,11/22/2020,Bank of America Stadium,Carolina Panthers,Detroit Lions,null,null
75,26/11/2020 09:30,11/26/2020,Ford Field,Detroit Lions,Houston Texans,null,null
76,6/12/2020 10:00:00,12/6/2020,Soldier Field,Chicago Bears,Detroit Lions,null,null
77,13/12/2020 13:25,12/13/2020,Ford Field,Detroit Lions,Green Bay Packers,null,null
78,20/12/2020 10:00,12/20/2020,Nissan Stadium,Tennessee Titans,Detroit Lions,null,null
79,26/12/2020 10:00,12/26/2020,Ford Field,Detroit Lions,Tampa Bay Buccaneers,null,null
80,3/1/2021 10:00:00,1/3/2021,Ford Field,Detroit Lions,Minnesota Vikings,null,null
